stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PB241,,PB241-Parada / Mall Plaza Norte - Los Libertadores,-33.3640608654187,-70.6813497834287,
PB184,,PB184-Los Libertadores / Esq. Av. A. Vespucio,-33.3668309550922,-70.6809753208719,
PB185,,PB185-Parada / Pasarela Albany,-33.3660773768537,-70.6857972414389,
PB242,,PB242-Parada 6 / (M) Los Libertadores,-33.36634008462,-70.6896187871375,
PB186,,PB186-Av. Independencia / Esq. H. De Iquique,-33.3691430922503,-70.6886830992988,
PB187,,PB187-Av. Independencia / Esq. H. La Concepción,-33.3715641115389,-70.6877184797929,
PB188,,PB188-Parada 1 / (M) Cardenal Caro,-33.3733845378189,-70.6866852468833,
PB251,,PB251-Av. Independencia / Esq. Trigal,-33.3767548058383,-70.6845532441068,
PB190,,PB190-Av. Independencia / Esq. El Cortijo,-33.3782208905033,-70.6839107746507,
PB191,,PB191-Av. Independencia / Esq. Quilicura,-33.3810875806858,-70.6829975181593,
PB1707,,PB1707-Av. Independencia / Esq. El Pino,-33.3829105476568,-70.6819071576185,
PB193,,PB193-Parada 1 / (M) Vivaceta,-33.3856992739942,-70.6796926151501,
PB194,,PB194-Av. Independencia / Esq. Módulo Lunar,-33.3878080086532,-70.6783420932578,
PB195,,PB195-Av. Independencia / Esq. El Olivo,-33.3907376827627,-70.6753032991564,
PB196,,PB196-Av. Independencia / Esq. Teniente Ponce,-33.3932712204555,-70.6736124117339,
PB259,,PB259-Av. Independencia / Esq. B. Mandujano,-33.3961386192774,-70.6715719547466,
PB198,,PB198-Parada 1 / (M) Conchalí,-33.3976160047408,-70.6700864355551,
PB199,,PB199-Av. Independencia / Esq. Cañete,-33.3993603088691,-70.6679984971957,
PB200,,PB200-Av. Independencia / Esq. P. Vélez Silva,-33.4023035968391,-70.6648678309047,
PB201,,PB201-Parada 1 / Einstein - Independencia,-33.4037446036438,-70.6636007487169,
PB202,,PB202-Parada 3 / Plaza Chacabuco,-33.4059687735252,-70.6616324251984,
PB203,,PB203-Av. Independencia / Esq. Nueva De Matte,-33.4091612335124,-70.6601534014786,
PB264,,PB264-Parada 1 / Nueva De Matte - Independencia,-33.411334808425,-70.6592656849096,
PB265,,PB265-Av. Independencia / Esq. Avenida Central,-33.4132402810939,-70.6584642338128,
PB205,,PB205-Av. Independencia / Esq. D. Santa María,-33.4152743033872,-70.6574909822384,
PB206,,PB206-Parada 1 / Hospitales,-33.4174175374215,-70.6565778328201,
PB268,,PB268-Av. Independencia / Esq. Colón ,-33.4217339917653,-70.6556779382505,
PB269,,PB269-Av. Independencia / Esq. Rivera,-33.424967067009,-70.6549337836003,
PB209,,PB209-Av. Independencia / Esq. Gral. De La Lastra,-33.427135473185,-70.6542952143897,
PB210,,PB210-Av. Independencia / Esq. General Borgoño,-33.4303794110604,-70.6533446697099,
PA48,,PA48-Parada 1 / Estación Mapocho,-33.4325871549116,-70.653339217238,
PA49,,PA49-Parada / Hospital Traumatológico,-33.434366575539,-70.6587929531997,
PA50,,PA50-Parada 1 / Teatro Teletón,-33.435662314821,-70.6586046398671,
PA51,,PA51-Parada 3 / (M) Santa Ana,-33.4385809272018,-70.6582449800162,
PA52,,PA52-San Martín / Esq. Moneda,-33.4419740269711,-70.6578082718344,
PA53,,PA53-Parada 1 / (M) La Moneda,-33.4447228337607,-70.6574679286799,
PA30,,PA30-San Ignacio / Esq. Padre M. De Olivares,-33.4488091699541,-70.6568485629784,
PA31,,PA31-Parada / Palacio Cousiño,-33.4514819804913,-70.6563238378444,
PA54,,PA54-Santa Isabel / Esq. Lord Cochrane,-33.4529806130843,-70.6546525125575,
PA55,,PA55-Nataniel Cox / Esq. Av. 10 De Julio,-33.4541456925177,-70.6526326789161,
PA627,,PA627-Nataniel Cox / Esq. Copiapó,-33.4555341892087,-70.6523857550226,
PA56,,PA56-Nataniel Cox / Esq. Aconcagua,-33.4577470903285,-70.6520608611392,
PA57,,PA57-Nataniel Cox / Esq. Av. Manuel A. Matta,-33.4595623414211,-70.6517994211462,
PA58,,PA58-Parada / Colegio Santa Cruz,-33.4637214100761,-70.6511337501263,
